Name,URL
Consensus,https://www.un.org/ungifts/content/consensus
Coral Vivo,https://www.un.org/ungifts/content/coral-vivo
Tajik Scalloped Crown,https://www.un.org/ungifts/tajik-scalloped-crown
Peace Is the Way (Gandhi Bust),https://www.un.org/ungifts/content/peace-is-the-way
Shibam Hadramout - Manhattan of the Desert,https://www.un.org/ungifts/content/shibam-hadramout-manhattan-desert
Abused Ammunition,https://www.un.org/ungifts/content/abused-ammunition
Malecón Seaside Bench,https://www.un.org/ungifts/content/malecon-seaside-bench
Göbeklitepe Limestone Stele,https://www.un.org/ungifts/content/gobeklitepelimestone-stele
Manuscript of ‘The Knight in Panther’s Skin’,https://www.un.org/ungifts/content/manuscript-of-the-knight-in-panther-skin
The Unseen Afghanistan,https://www.un.org/ungifts/content/the-unseen-afghanistan
Angkor Wat Temple,https://www.un.org/ungifts/content/angkor-wat-temple
Reaching for the Skies,https://www.un.org/ungifts/content/reaching-for-the-skies
Kusikawsay,https://www.un.org/ungifts/content/kusikawsay-UNNY328G
Mi Pueblo,https://www.un.org/ungifts/content/mi-pueblo-my-people
Agenda 2030,https://www.un.org/ungifts/content/agenda-2030
Life Size Statue of Nelson Mandela,https://www.un.org/ungifts/content/life-size-statue-of-nelson-mandela
Consciousness,https://www.un.org/ungifts/content/consciousness
Model of Registan Square,https://www.un.org/ungifts/content/model-of-registan-square
Portrait of Ban Ki-Moon,https://www.un.org/ungifts/content/portrait-of-ban-ki-moon
L’Arbre à Etoiles,https://www.un.org/ungifts/l%E2%80%99arbre-%C3%A0-etoiles
Zun of Peace,https://www.un.org/ungifts/zun-peace
Tukutuku Panels of Traditional Māori Designs,https://www.un.org/ungifts/tukutuku-panels-traditional-m%C4%81ori-designs
North Delegates Lounge,https://www.un.org/ungifts/north-delegates-lounge
East Lounge,https://www.un.org/ungifts/east-lounge
Dialogos,https://www.un.org/ungifts/dialogos
Home of Us All,https://www.un.org/ungifts/content/home-us-all
The Interactive World,https://www.un.org/ungifts/interactive-world
